chunk_id,section_id,chunk_seq,start_char,end_char,text_chunk
SEC958251943746_C18,958251943746,18,4644,5133,"To explain the catalytic effect of the β-CD dimer, Holick and co-workers proposed that the reactive conformers of PreD3 are stabilized upon complexation, thereby elevating the isomerization rate constant. On the other hand, Meana-Pañeda and Fernández-Ramos posited that this increase is a result of the diminutive cavity of the β-CD dimer, which restricts rotations about the single bonds of the triene moiety connecting the A and C rings in PreD3, thus isolating the reactive conformers."
SEC958251943746_C19,958251943746,19,4849,5309,"On the other hand, Meana-Pañeda and Fernández-Ramos posited that this increase is a result of the diminutive cavity of the β-CD dimer, which restricts rotations about the single bonds of the triene moiety connecting the A and C rings in PreD3, thus isolating the reactive conformers. Regrettably, a lack of quantitative computational evidence has prevented either of these hypotheses from being supported, and the catalytic mechanism remains an open question."
SEC958251943746_C20,958251943746,20,5133,5646,"Regrettably, a lack of quantitative computational evidence has prevented either of these hypotheses from being supported, and the catalytic mechanism remains an open question. With the intention of illuminating the catalytic mechanism, we conducted a comprehensive analysis of the dynamics of the isomerization reaction of PreD3 when encapsulated within the β-CD dimer. To achieve this, we utilized the statistical multistructural variational transition state theory (MS-VTST) in combination with MD simulations."
SEC273485125918_C01,273485125918,1,0,514,"Calculation Method It has been demonstrated that the lateral chain ( R in Figure) is not directly involved in the thermal isomerization and that, therefore, it can be safely replaced by a methyl group when studying this reaction in both gas-phase and n -hexane environments. We assume that this approximation also holds true within the β-CD dimer, and for this reason, we have also substituted this fragment by a methyl group. Hereinafter, we will replace the PreD3 name by PreD to refer to the modified reactant."
SEC763049830932_C01,763049830932,1,0,573,"Molecular Dynamics Simulations MD simulations were conducted for both the free [f] and encapsulated [e] versions of PreD, in order to compare the accessible torsional space of the triene moiety in each case. The most stable HL conformer of PreD exhibiting a −c−c triene arrangement was selected as the initial configuration for the simulation. For the encapsulated version, this conformer was manually inserted inside the β-CD dimer cavity and optimized at the HF/6-31G level of theory before the MD simulation. The xTB software (version 6.4.1), developed by Grimme et al."
SEC763049830932_C02,763049830932,2,344,861,"For the encapsulated version, this conformer was manually inserted inside the β-CD dimer cavity and optimized at the HF/6-31G level of theory before the MD simulation. The xTB software (version 6.4.1), developed by Grimme et al., was used, in combination with the semiempirical GFN2-xTB methodology, to calculate the forces throughout the simulation. Each system was propagated for 1 μs in five independent simulations with a time step of 2 ps at 310. K in an NVT ensemble (total simulation time per system of 5 μs)."
SEC763049830932_C03,763049830932,3,695,995,"Each system was propagated for 1 μs in five independent simulations with a time step of 2 ps at 310. K in an NVT ensemble (total simulation time per system of 5 μs). A Berendsen thermostat was used for keeping constant the temperature of the system, and the SHAKE algorithm was applied to all bonds."
SEC635272063273_C01,635272063273,1,0,476,"Abstract Previous experimental studies have shown that the isomerization reaction of previtamin D3 (PreD3) to vitamin D3 (VitD3) is accelerated 40-fold when it takes place within a β-cyclodextrin dimer, in comparison to the reaction occurring in conventional isotropic solutions. In this study, we employ quantum mechanics-based molecular dynamics (MD) simulations and statistical multistructural variational transition state theory to unveil the origin of this acceleration."
SEC635272063273_C02,635272063273,2,280,793,"In this study, we employ quantum mechanics-based molecular dynamics (MD) simulations and statistical multistructural variational transition state theory to unveil the origin of this acceleration. We find that the conformational landscape in the PreD3 isomerization is highly dependent on whether the system is encapsulated. In isotropic media, the triene moiety of the PreD3 exhibits a rich torsional flexibility. However, when encapsulated, such a flexibility is limited to a more confined conformational space."
SEC635272063273_C03,635272063273,3,604,1136,"In isotropic media, the triene moiety of the PreD3 exhibits a rich torsional flexibility. However, when encapsulated, such a flexibility is limited to a more confined conformational space. In both scenarios, our calculated rate constants are in close agreement with experimental results and allow us to identify the PreD3 flexibility restriction as the primary catalytic factor. These findings enhance our understanding of VitD3 isomerization and underscore the significance of MD and environmental factors in biochemical modeling."
SEC958251943746_C01,958251943746,1,0,580,"Introduction The “sunshine vitamin”, vitamin D3 (VitD3), is a steroid hormone hailing from cholesterol that holds a crucial place in the maintenance of calcium homeostasis and the enhancement of normal bone mineralization within the human anatomy. This vital nutrient is also intricately involved in several other indispensable biological processes, − and its insufficiency has been identified as a contributing factor to various health conditions, such as rickets and osteoporosis in children and adults, autoimmune diseases, − and even to the onset of depression in later life."
SEC958251943746_C02,958251943746,2,248,791,"This vital nutrient is also intricately involved in several other indispensable biological processes, − and its insufficiency has been identified as a contributing factor to various health conditions, such as rickets and osteoporosis in children and adults, autoimmune diseases, − and even to the onset of depression in later life., Despite its fundamental significance, hypovitaminosis D is a widespread global challenge, affecting approximately one billion individuals across the world, even in regions boasting high levels of sun exposure."
SEC958251943746_C03,958251943746,3,580,1093,", Despite its fundamental significance, hypovitaminosis D is a widespread global challenge, affecting approximately one billion individuals across the world, even in regions boasting high levels of sun exposure. VitD3 can be obtained by humans through two sources, namely, endogenous production and dietary intake, with the former serving as the principal source for the vast majority of individuals. Regarding the latter, the utilization of VitD3 supplements has witnessed an unprecedented surge in recent years."
SEC958251943746_C04,958251943746,4,791,1241,"VitD3 can be obtained by humans through two sources, namely, endogenous production and dietary intake, with the former serving as the principal source for the vast majority of individuals. Regarding the latter, the utilization of VitD3 supplements has witnessed an unprecedented surge in recent years. For example, their sales reached a staggering $936 million in the United States alone in the year 2017, a 9-fold increase from the previous decade."
SEC958251943746_C05,958251943746,5,1093,1645,"For example, their sales reached a staggering $936 million in the United States alone in the year 2017, a 9-fold increase from the previous decade. Given the growing demand for VitD3, an in-depth comprehension of the mechanism behind its formation holds immense significance for both the pharmaceutical and food industries, as it holds the potential to pave the way for the creation of more efficient and economically viable synthetic procedures. The endogenous biosynthesis of VitD3 within the skin involves a two-step process, as depicted in Figure."
SEC958251943746_C06,958251943746,6,1241,1645,"Given the growing demand for VitD3, an in-depth comprehension of the mechanism behind its formation holds immense significance for both the pharmaceutical and food industries, as it holds the potential to pave the way for the creation of more efficient and economically viable synthetic procedures. The endogenous biosynthesis of VitD3 within the skin involves a two-step process, as depicted in Figure."
SEC958251943746_C07,958251943746,7,1540,1987,"The endogenous biosynthesis of VitD3 within the skin involves a two-step process, as depicted in Figure. The first step is the UV-induced 6π electrocyclic ring opening of 7-dehydrocholesterol, otherwise known as provitamin D3 (ProD3), resulting in the formation of the secosteroid previtamin D3 (PreD3). The second step entails the thermal antarafacial -sigmatropic hydrogen shift reaction, culminating in the formation of the much-coveted VitD3."
SEC958251943746_C08,958251943746,8,1844,2300,"The second step entails the thermal antarafacial -sigmatropic hydrogen shift reaction, culminating in the formation of the much-coveted VitD3. In order for this second step of the biosynthesis of VitD3 to occur, it is necessary for the single bonds of the triene moiety, which connect rings A and C, to be in the s-cis conformation (−c or +c, depending on whether the corresponding dihedral angle is between −90 and 0° or between 0 and 90°, respectively)."
SEC958251943746_C09,958251943746,9,1987,2446,"In order for this second step of the biosynthesis of VitD3 to occur, it is necessary for the single bonds of the triene moiety, which connect rings A and C, to be in the s-cis conformation (−c or +c, depending on whether the corresponding dihedral angle is between −90 and 0° or between 0 and 90°, respectively). As a result, this reaction manifests two potential antarafacial hydrogen exchange pathways: +c+c and −c−c, or just and, as illustrated in Figure."
SEC958251943746_C10,958251943746,10,2300,2808,"As a result, this reaction manifests two potential antarafacial hydrogen exchange pathways: +c+c and −c−c, or just and, as illustrated in Figure. The nomenclature for these arrangements is derived from the torsion angles about the two single bonds of the triene moiety (ϕ 1 and ϕ 2, see Figure). According to the nonadiabatic molecular dynamics (MD) simulations carried out by Furche and co-workers, the UV-induced ring opening results in PreD3 in the −c−c arrangement (we refer to Figure 11 of their work)."
SEC958251943746_C11,958251943746,11,2596,3006,"According to the nonadiabatic molecular dynamics (MD) simulations carried out by Furche and co-workers, the UV-induced ring opening results in PreD3 in the −c−c arrangement (we refer to Figure 11 of their work). However, the small interconversion barriers in PreD3 allows the thermal isomerization to take place through the +c+c configuration, which is known to be about 10 times faster than the −c−c pathway."
SEC958251943746_C12,958251943746,12,2808,3368,"However, the small interconversion barriers in PreD3 allows the thermal isomerization to take place through the +c+c configuration, which is known to be about 10 times faster than the −c−c pathway. It is also important to note that the most stable conformer of PreD3, which has been found, to present a +t−c triene configuration, does not correspond to either of the two reactive triene arrangements (+t implies that the corresponding dihedral angle, in this case ϕ 1, is between +90 and +180°). Examples of these triene configurations can be found in Figure."
SEC958251943746_C13,958251943746,13,3006,3463,"It is also important to note that the most stable conformer of PreD3, which has been found, to present a +t−c triene configuration, does not correspond to either of the two reactive triene arrangements (+t implies that the corresponding dihedral angle, in this case ϕ 1, is between +90 and +180°). Examples of these triene configurations can be found in Figure. Holick and co-workers have delved into the thermal isomerization of PreD3 in a range of media."
SEC958251943746_C14,958251943746,14,3304,3857,"Examples of these triene configurations can be found in Figure. Holick and co-workers have delved into the thermal isomerization of PreD3 in a range of media. Their findings show that the thermal reaction necessitates a substantial amount of time, spanning several days, in an isotropic organic solution, such as n -hexane, at a temperature equivalent to that of the human body. However, they have uncovered that this transformation occurs at a 10-fold faster pace when taking place inside different skin types, including human and even reptilian skin."
SEC958251943746_C15,958251943746,15,3683,4270,"However, they have uncovered that this transformation occurs at a 10-fold faster pace when taking place inside different skin types, including human and even reptilian skin. Their experiments show a remarkable acceleration in the rate of this thermal isomerizationby 40 timeswhen PreD3 remains encapsulated within a β-cyclodextrin dimer (β-CD dimer), compared to its rate in an isotropic medium. In this specific experiment, ProD3 was first encapsulated inside the β-CD dimer and then irradiated to produce PreD3. Subsequently, the thermal isomerization of PreD3 to VitD3 was studied."
SEC958251943746_C16,958251943746,16,4081,4644,"In this specific experiment, ProD3 was first encapsulated inside the β-CD dimer and then irradiated to produce PreD3. Subsequently, the thermal isomerization of PreD3 to VitD3 was studied. Given the high excess of β-CD and the insolubility of free ProD3 in water, Holick and co-workers reported that the system (ProD3, PreD3, and VitD3) remained fully complexed throughout the experiment. Therefore, the observed 40-fold increase in the reaction is exclusively due to the isomerization reaction and is unaffected by the encapsulation and decapsulation processes."
SEC958251943746_C17,958251943746,17,4470,4849,"Therefore, the observed 40-fold increase in the reaction is exclusively due to the isomerization reaction and is unaffected by the encapsulation and decapsulation processes. To explain the catalytic effect of the β-CD dimer, Holick and co-workers proposed that the reactive conformers of PreD3 are stabilized upon complexation, thereby elevating the isomerization rate constant."
SEC958251943746_C18,958251943746,18,4644,5133,"To explain the catalytic effect of the β-CD dimer, Holick and co-workers proposed that the reactive conformers of PreD3 are stabilized upon complexation, thereby elevating the isomerization rate constant. On the other hand, Meana-Pañeda and Fernández-Ramos posited that this increase is a result of the diminutive cavity of the β-CD dimer, which restricts rotations about the single bonds of the triene moiety connecting the A and C rings in PreD3, thus isolating the reactive conformers."
SEC958251943746_C19,958251943746,19,4849,5309,"On the other hand, Meana-Pañeda and Fernández-Ramos posited that this increase is a result of the diminutive cavity of the β-CD dimer, which restricts rotations about the single bonds of the triene moiety connecting the A and C rings in PreD3, thus isolating the reactive conformers. Regrettably, a lack of quantitative computational evidence has prevented either of these hypotheses from being supported, and the catalytic mechanism remains an open question."
SEC958251943746_C20,958251943746,20,5133,5646,"Regrettably, a lack of quantitative computational evidence has prevented either of these hypotheses from being supported, and the catalytic mechanism remains an open question. With the intention of illuminating the catalytic mechanism, we conducted a comprehensive analysis of the dynamics of the isomerization reaction of PreD3 when encapsulated within the β-CD dimer. To achieve this, we utilized the statistical multistructural variational transition state theory (MS-VTST) in combination with MD simulations."
SEC273485125918_C01,273485125918,1,0,514,"Calculation Method It has been demonstrated that the lateral chain ( R in Figure) is not directly involved in the thermal isomerization and that, therefore, it can be safely replaced by a methyl group when studying this reaction in both gas-phase and n -hexane environments. We assume that this approximation also holds true within the β-CD dimer, and for this reason, we have also substituted this fragment by a methyl group. Hereinafter, we will replace the PreD3 name by PreD to refer to the modified reactant."
SEC763049830932_C01,763049830932,1,0,573,"Molecular Dynamics Simulations MD simulations were conducted for both the free [f] and encapsulated [e] versions of PreD, in order to compare the accessible torsional space of the triene moiety in each case. The most stable HL conformer of PreD exhibiting a −c−c triene arrangement was selected as the initial configuration for the simulation. For the encapsulated version, this conformer was manually inserted inside the β-CD dimer cavity and optimized at the HF/6-31G level of theory before the MD simulation. The xTB software (version 6.4.1), developed by Grimme et al."
SEC763049830932_C02,763049830932,2,344,861,"For the encapsulated version, this conformer was manually inserted inside the β-CD dimer cavity and optimized at the HF/6-31G level of theory before the MD simulation. The xTB software (version 6.4.1), developed by Grimme et al., was used, in combination with the semiempirical GFN2-xTB methodology, to calculate the forces throughout the simulation. Each system was propagated for 1 μs in five independent simulations with a time step of 2 ps at 310. K in an NVT ensemble (total simulation time per system of 5 μs)."
SEC763049830932_C03,763049830932,3,695,995,"Each system was propagated for 1 μs in five independent simulations with a time step of 2 ps at 310. K in an NVT ensemble (total simulation time per system of 5 μs). A Berendsen thermostat was used for keeping constant the temperature of the system, and the SHAKE algorithm was applied to all bonds."
SEC635272063273_C01,635272063273,1,0,476,"Abstract Previous experimental studies have shown that the isomerization reaction of previtamin D3 (PreD3) to vitamin D3 (VitD3) is accelerated 40-fold when it takes place within a β-cyclodextrin dimer, in comparison to the reaction occurring in conventional isotropic solutions. In this study, we employ quantum mechanics-based molecular dynamics (MD) simulations and statistical multistructural variational transition state theory to unveil the origin of this acceleration."
SEC635272063273_C02,635272063273,2,280,793,"In this study, we employ quantum mechanics-based molecular dynamics (MD) simulations and statistical multistructural variational transition state theory to unveil the origin of this acceleration. We find that the conformational landscape in the PreD3 isomerization is highly dependent on whether the system is encapsulated. In isotropic media, the triene moiety of the PreD3 exhibits a rich torsional flexibility. However, when encapsulated, such a flexibility is limited to a more confined conformational space."
SEC635272063273_C03,635272063273,3,604,1136,"In isotropic media, the triene moiety of the PreD3 exhibits a rich torsional flexibility. However, when encapsulated, such a flexibility is limited to a more confined conformational space. In both scenarios, our calculated rate constants are in close agreement with experimental results and allow us to identify the PreD3 flexibility restriction as the primary catalytic factor. These findings enhance our understanding of VitD3 isomerization and underscore the significance of MD and environmental factors in biochemical modeling."
SEC958251943746_C01,958251943746,1,0,580,"Introduction The “sunshine vitamin”, vitamin D3 (VitD3), is a steroid hormone hailing from cholesterol that holds a crucial place in the maintenance of calcium homeostasis and the enhancement of normal bone mineralization within the human anatomy. This vital nutrient is also intricately involved in several other indispensable biological processes, − and its insufficiency has been identified as a contributing factor to various health conditions, such as rickets and osteoporosis in children and adults, autoimmune diseases, − and even to the onset of depression in later life."
SEC958251943746_C02,958251943746,2,248,791,"This vital nutrient is also intricately involved in several other indispensable biological processes, − and its insufficiency has been identified as a contributing factor to various health conditions, such as rickets and osteoporosis in children and adults, autoimmune diseases, − and even to the onset of depression in later life., Despite its fundamental significance, hypovitaminosis D is a widespread global challenge, affecting approximately one billion individuals across the world, even in regions boasting high levels of sun exposure."
SEC958251943746_C03,958251943746,3,580,1093,", Despite its fundamental significance, hypovitaminosis D is a widespread global challenge, affecting approximately one billion individuals across the world, even in regions boasting high levels of sun exposure. VitD3 can be obtained by humans through two sources, namely, endogenous production and dietary intake, with the former serving as the principal source for the vast majority of individuals. Regarding the latter, the utilization of VitD3 supplements has witnessed an unprecedented surge in recent years."
SEC958251943746_C04,958251943746,4,791,1241,"VitD3 can be obtained by humans through two sources, namely, endogenous production and dietary intake, with the former serving as the principal source for the vast majority of individuals. Regarding the latter, the utilization of VitD3 supplements has witnessed an unprecedented surge in recent years. For example, their sales reached a staggering $936 million in the United States alone in the year 2017, a 9-fold increase from the previous decade."
SEC958251943746_C05,958251943746,5,1093,1645,"For example, their sales reached a staggering $936 million in the United States alone in the year 2017, a 9-fold increase from the previous decade. Given the growing demand for VitD3, an in-depth comprehension of the mechanism behind its formation holds immense significance for both the pharmaceutical and food industries, as it holds the potential to pave the way for the creation of more efficient and economically viable synthetic procedures. The endogenous biosynthesis of VitD3 within the skin involves a two-step process, as depicted in Figure."
SEC958251943746_C06,958251943746,6,1241,1645,"Given the growing demand for VitD3, an in-depth comprehension of the mechanism behind its formation holds immense significance for both the pharmaceutical and food industries, as it holds the potential to pave the way for the creation of more efficient and economically viable synthetic procedures. The endogenous biosynthesis of VitD3 within the skin involves a two-step process, as depicted in Figure."
SEC958251943746_C07,958251943746,7,1540,1987,"The endogenous biosynthesis of VitD3 within the skin involves a two-step process, as depicted in Figure. The first step is the UV-induced 6π electrocyclic ring opening of 7-dehydrocholesterol, otherwise known as provitamin D3 (ProD3), resulting in the formation of the secosteroid previtamin D3 (PreD3). The second step entails the thermal antarafacial -sigmatropic hydrogen shift reaction, culminating in the formation of the much-coveted VitD3."
SEC958251943746_C08,958251943746,8,1844,2300,"The second step entails the thermal antarafacial -sigmatropic hydrogen shift reaction, culminating in the formation of the much-coveted VitD3. In order for this second step of the biosynthesis of VitD3 to occur, it is necessary for the single bonds of the triene moiety, which connect rings A and C, to be in the s-cis conformation (−c or +c, depending on whether the corresponding dihedral angle is between −90 and 0° or between 0 and 90°, respectively)."
SEC958251943746_C09,958251943746,9,1987,2446,"In order for this second step of the biosynthesis of VitD3 to occur, it is necessary for the single bonds of the triene moiety, which connect rings A and C, to be in the s-cis conformation (−c or +c, depending on whether the corresponding dihedral angle is between −90 and 0° or between 0 and 90°, respectively). As a result, this reaction manifests two potential antarafacial hydrogen exchange pathways: +c+c and −c−c, or just and, as illustrated in Figure."
SEC958251943746_C10,958251943746,10,2300,2808,"As a result, this reaction manifests two potential antarafacial hydrogen exchange pathways: +c+c and −c−c, or just and, as illustrated in Figure. The nomenclature for these arrangements is derived from the torsion angles about the two single bonds of the triene moiety (ϕ 1 and ϕ 2, see Figure). According to the nonadiabatic molecular dynamics (MD) simulations carried out by Furche and co-workers, the UV-induced ring opening results in PreD3 in the −c−c arrangement (we refer to Figure 11 of their work)."
SEC958251943746_C11,958251943746,11,2596,3006,"According to the nonadiabatic molecular dynamics (MD) simulations carried out by Furche and co-workers, the UV-induced ring opening results in PreD3 in the −c−c arrangement (we refer to Figure 11 of their work). However, the small interconversion barriers in PreD3 allows the thermal isomerization to take place through the +c+c configuration, which is known to be about 10 times faster than the −c−c pathway."
SEC958251943746_C12,958251943746,12,2808,3368,"However, the small interconversion barriers in PreD3 allows the thermal isomerization to take place through the +c+c configuration, which is known to be about 10 times faster than the −c−c pathway. It is also important to note that the most stable conformer of PreD3, which has been found, to present a +t−c triene configuration, does not correspond to either of the two reactive triene arrangements (+t implies that the corresponding dihedral angle, in this case ϕ 1, is between +90 and +180°). Examples of these triene configurations can be found in Figure."
SEC958251943746_C13,958251943746,13,3006,3463,"It is also important to note that the most stable conformer of PreD3, which has been found, to present a +t−c triene configuration, does not correspond to either of the two reactive triene arrangements (+t implies that the corresponding dihedral angle, in this case ϕ 1, is between +90 and +180°). Examples of these triene configurations can be found in Figure. Holick and co-workers have delved into the thermal isomerization of PreD3 in a range of media."
SEC958251943746_C14,958251943746,14,3304,3857,"Examples of these triene configurations can be found in Figure. Holick and co-workers have delved into the thermal isomerization of PreD3 in a range of media. Their findings show that the thermal reaction necessitates a substantial amount of time, spanning several days, in an isotropic organic solution, such as n -hexane, at a temperature equivalent to that of the human body. However, they have uncovered that this transformation occurs at a 10-fold faster pace when taking place inside different skin types, including human and even reptilian skin."
SEC958251943746_C15,958251943746,15,3683,4270,"However, they have uncovered that this transformation occurs at a 10-fold faster pace when taking place inside different skin types, including human and even reptilian skin. Their experiments show a remarkable acceleration in the rate of this thermal isomerizationby 40 timeswhen PreD3 remains encapsulated within a β-cyclodextrin dimer (β-CD dimer), compared to its rate in an isotropic medium. In this specific experiment, ProD3 was first encapsulated inside the β-CD dimer and then irradiated to produce PreD3. Subsequently, the thermal isomerization of PreD3 to VitD3 was studied."
SEC958251943746_C16,958251943746,16,4081,4644,"In this specific experiment, ProD3 was first encapsulated inside the β-CD dimer and then irradiated to produce PreD3. Subsequently, the thermal isomerization of PreD3 to VitD3 was studied. Given the high excess of β-CD and the insolubility of free ProD3 in water, Holick and co-workers reported that the system (ProD3, PreD3, and VitD3) remained fully complexed throughout the experiment. Therefore, the observed 40-fold increase in the reaction is exclusively due to the isomerization reaction and is unaffected by the encapsulation and decapsulation processes."
